,edad,genero,paises,titulo_academico,puesto_trabajo,años_experiencia,plataforma_informatica,sector_laboral,tamaño_empresa,salario,servidor_datos,lenguaje_programacion,entorno_desarrollo,libreria_visualizacion,funciones_puesto,herramienta_publicacion
22061,25-29,Man,United States of America,Bachelor’s degree,Business Analyst,I have never written code,,Marketing/CRM,0-49 employees,"60,000-69,999",,,,,Analyze and understand data to influence product or business decisions,
22063,18-21,Man,India,Bachelor’s degree,Business Analyst,< 1 years,A laptop,Accounting/Finance,0-49 employees,"4,000-4,999",," SQL, Javascript"," Notepad++, Sublime Text", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",I do not share my work publicly
22069,35-39,Man,United States of America,Bachelor’s degree,Data Analyst,I have never written code,,Academics/Education,"10,000 or more employees",$0-999,,,,," Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",
22089,40-44,Man,Australia,Some college/university study without earning a bachelor’s degree,Data Analyst,3-5 years,A laptop,Government/Public Service,"1000-9,999 employees","70,000-79,999",Microsoft SQL Server ,"Python, SQL, Java",Visual Studio ," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas", Colab 
22111,22-24,Man,India,Bachelor’s degree,Data Analyst,1-3 years,A laptop,,,,,Python,"PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",,
22124,40-44,Man,Mexico,Master’s degree,Data Analyst,3-5 years,A personal computer / desktop,Computers/Technology,0-49 employees,$0-999,Google Cloud BigQuery ," R, SQL",RStudio ,"Plotly / Plotly Express ,Ggplot / ggplot2 ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows",I do not share my work publicly
22131,50-54,Man,India,Bachelor’s degree,Data Analyst,I have never written code,,Retail/Sales,"10,000 or more employees","25,000-29,999",,,,, None of these activities are an important part of my role at work,
22133,25-29,Woman,South Korea,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Accounting/Finance,0-49 employees,$0-999,,"Python, Java, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm "," Matplotlib ,D3 js "," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", GitHub 
22154,45-49,Prefer not to say,United States of America,I prefer not to answer,Data Analyst,10-20 years,A laptop,,,,, None, None, None,,
22169,22-24,Man,Egypt,Bachelor’s degree,Data Analyst,3-5 years,A personal computer / desktop,,,,,"Python, R, SQL, C++, Java, Javascript, MATLAB, Other","RStudio ,Visual Studio Code (VSCode) ,PyCharm , Spyder, Sublime Text,MATLAB ,Jupyter Notebook", None,,
22187,30-34,Woman,India,Master’s degree,Data Analyst,5-10 years,A laptop,Accounting/Finance,"10,000 or more employees","7,500-9,999",Microsoft SQL Server ,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Notepad++"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Shiny , Other","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models", GitHub   Kaggle 
22199,25-29,Man,India,Master’s degree,Data Analyst,1-3 years,A laptop,Insurance/Risk Assessment,"10,000 or more employees","15,000-19,999",," SQL, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
22210,35-39,Man,Mexico,Some college/university study without earning a bachelor’s degree,Business Analyst,I have never written code,,Non-profit/Service,0-49 employees,$0-999,,,,, Other,
22215,25-29,Man,Kenya,Bachelor’s degree,Data Analyst,3-5 years,A laptop,,,,,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio , Spyder,Jupyter Notebook",,,
22235,50-54,Woman,United States of America,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Academics/Education,250-999 employees,"20,000-24,999",MySQL ," R, SQL",RStudio ,Ggplot / ggplot2 , Other, GitHub   Kaggle 
22237,30-34,Man,India,No formal education past high school,Business Analyst,< 1 years,A personal computer / desktop,Accounting/Finance,50-249 employees,"2,000-2,999",, Bash,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",Leaflet / Folium ," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
22247,25-29,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Broadcasting/Communications,"10,000 or more employees","1,000-1,999",Microsoft Azure SQL Database ,"Python, SQL, Other","Visual Studio , Spyder,Jupyter Notebook", Other,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",I do not share my work publicly
22262,45-49,Man,Canada,Master’s degree,Data Analyst,3-5 years,A laptop,Computers/Technology,250-999 employees,"70,000-79,999",,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook", Matplotlib , None of these activities are an important part of my role at work,
22266,50-54,Man,United States of America,Master’s degree,Data Analyst,10-20 years,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Accounting/Finance,"10,000 or more employees","100,000-124,999",Other," SQL, Other","Visual Studio , Notepad++, Other", None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
22288,18-21,Man,Egypt,Some college/university study without earning a bachelor’s degree,Data Analyst,1-3 years,A laptop,,,,,"Python, C++","Visual Studio ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook", None,,
22298,30-34,Man,Turkey,Master’s degree,Business Analyst,5-10 years,A laptop,Computers/Technology,0-49 employees,$0-999,,"Python, SQL, Javascript, MATLAB","Visual Studio ,Visual Studio Code (VSCode) ", None, None of these activities are an important part of my role at work,I do not share my work publicly
22309,22-24,Woman,Belarus,Master’s degree,Data Analyst,1-3 years,A laptop,Manufacturing/Fabrication,50-249 employees,"25,000-29,999",MongoDB ,"Python, R","RStudio ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas", GitHub 
22316,18-21,Man,Egypt,Some college/university study without earning a bachelor’s degree,Data Analyst,1-3 years,A laptop,Hospitality/Entertainment/Sports,0-49 employees,$0-999,,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,MATLAB "," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning",I do not share my work publicly
22319,25-29,Man,Japan,Bachelor’s degree,Data Analyst,3-5 years,A laptop,,,,,"Python, SQL, Javascript","Visual Studio Code (VSCode) ,Jupyter Notebook",,,
22320,35-39,Man,Nigeria,Master’s degree,Business Analyst,< 1 years,A laptop,Accounting/Finance,"1000-9,999 employees","15,000-19,999",," R, SQL",RStudio ,Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,I do not share my work publicly
22326,40-44,Man,Australia,Doctoral degree,Data Analyst,10-20 years,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Accounting/Finance,"10,000 or more employees","100,000-124,999",Other,"Python, SQL, Other",Jupyter Notebook," Matplotlib ,Bokeh ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
22328,22-24,Man,Taiwan,Master’s degree,Data Analyst,1-3 years,A laptop,Shipping/Transportation,250-999 employees,"25,000-29,999",,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
22360,60-69,Man,Japan,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Academics/Education,0-49 employees,"40,000-49,999",PostgreSQL ,Python,Jupyter Notebook," Matplotlib ,Seaborn ", None of these activities are an important part of my role at work, GitHub   Kaggle 
22379,35-39,Man,India,Master’s degree,Data Analyst,1-3 years,A personal computer / desktop,Academics/Education,0-49 employees,"1,000-1,999",Microsoft SQL Server ,"Python, SQL, C++","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Spyder, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", GitHub   Personal blog   Kaggle   Colab 
22382,25-29,Man,Turkey,Master’s degree,Data Analyst,5-10 years,A laptop,Online Business/Internet-based Sales,0-49 employees,$0-999,,"Python, SQL","Visual Studio Code (VSCode) ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Ggplot / ggplot2 ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
22384,40-44,Man,Italy,Master’s degree,Data Analyst,5-10 years,A laptop,Hospitality/Entertainment/Sports,50-249 employees,"20,000-24,999",,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ", Other,
22385,25-29,Man,China,Master’s degree,Business Analyst,10-20 years,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Online Business/Internet-based Sales,0-49 employees,,,"Python, C, C++, Java, Javascript, Bash, MATLAB"," Spyder,MATLAB ", Matplotlib ,Analyze and understand data to influence product or business decisions,
22407,25-29,Man,India,Master’s degree,Data Analyst,< 1 years,A laptop,Academics/Education,"10,000 or more employees","2,000-2,999",,Python,Visual Studio , None," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",I do not share my work publicly
22410,45-49,Man,Spain,Master’s degree,Business Analyst,3-5 years,A laptop,Accounting/Finance,0-49 employees,"30,000-39,999",MySQL ,"Python, R","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio "," Matplotlib ,Ggplot / ggplot2 ,Shiny ,Geoplotlib ",Analyze and understand data to influence product or business decisions, Kaggle 
22411,60-69,Man,Mexico,Master’s degree,Business Analyst,< 1 years,A laptop,Academics/Education,0-49 employees,"100,000-124,999",, R,RStudio ,"Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",I do not share my work publicly
22414,22-24,Man,Brazil,Some college/university study without earning a bachelor’s degree,Data Analyst,3-5 years,A laptop,Online Business/Internet-based Sales,"1000-9,999 employees","5,000-7,499",,"Python, R, SQL, Bash","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook","Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", GitHub   Kaggle 
22429,35-39,Man,Egypt,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Accounting/Finance,50-249 employees,$0-999,,Python,Jupyter Notebook," Matplotlib ,Seaborn ", None of these activities are an important part of my role at work,
22432,35-39,Woman,India,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Other,50-249 employees,"60,000-69,999",,"Python, SQL, Javascript, Other",Jupyter Notebook," Matplotlib ,Seaborn ,Ggplot / ggplot2 ", None of these activities are an important part of my role at work,
22445,22-24,Man,Egypt,Bachelor’s degree,Business Analyst,1-3 years,A laptop,Academics/Education,0-49 employees,$0-999,Microsoft SQL Server ,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
22448,22-24,Man,India,Bachelor’s degree,Data Analyst,I have never written code,,Marketing/CRM,50-249 employees,,,,,,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",
22454,25-29,Man,Poland,Master’s degree,Business Analyst,< 1 years,A laptop,Retail/Sales,"10,000 or more employees","15,000-19,999",,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm "," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
22463,25-29,Woman,Brazil,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Online Business/Internet-based Sales,"10,000 or more employees","10,000-14,999",PostgreSQL ,"Python, SQL, Bash",Visual Studio Code (VSCode) , Matplotlib ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",
22483,25-29,Man,Turkey,Master’s degree,Data Analyst,1-3 years,A laptop,Computers/Technology,50-249 employees,$0-999,MySQL ,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", Kaggle   Shiny 
22487,50-54,Man,Ecuador,Master’s degree,Business Analyst,1-3 years,A laptop,Retail/Sales,0-49 employees,"80,000-89,999",SQLite ,Python,Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions, Kaggle   Colab 
22493,25-29,Man,Nigeria,Bachelor’s degree,Business Analyst,< 1 years,A laptop,Computers/Technology,50-249 employees,"2,000-2,999",,Python,"Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn , Other",Analyze and understand data to influence product or business decisions,
22496,30-34,Man,Russia,Master’s degree,Data Analyst,3-5 years,A personal computer / desktop,Energy/Mining,"1000-9,999 employees","10,000-14,999",Microsoft SQL Server ,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, GitHub   Kaggle   Colab 
22498,22-24,Man,Portugal,Master’s degree,Data Analyst,1-3 years,A laptop,Academics/Education,0-49 employees,$0-999,,"Python, R, SQL, C, C++, MATLAB",PyCharm , Matplotlib , Do research that advances the state of the art of machine learning,I do not share my work publicly
22511,35-39,Woman,Portugal,Doctoral degree,Data Analyst,10-20 years,A personal computer / desktop,Other,"1000-9,999 employees","25,000-29,999",,"Python, SQL"," Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,D3 js ,Bokeh ,Geoplotlib ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",
22520,40-44,Man,India,No formal education past high school,Business Analyst,10-20 years,A laptop,Accounting/Finance,,,, SQL,"Visual Studio ,Visual Studio Code (VSCode) , Notepad++",Plotly / Plotly Express ,,
22529,22-24,Man,Colombia,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Other,"1000-9,999 employees","1,000-1,999",MySQL ,"Python, R, SQL, Bash","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm , Spyder, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models", GitHub   Colab 
22539,35-39,Woman,United States of America,Master’s degree,Data Analyst,1-3 years,A laptop,Computers/Technology,250-999 employees,"100,000-124,999",, SQL,"PyCharm ,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions, Kaggle 
22545,45-49,Man,France,Master’s degree,Data Analyst,1-3 years,A laptop,,,,,"Python, R, SQL, Java"," Notepad++,Jupyter Notebook",,,
22550,30-34,Man,Indonesia,Bachelor’s degree,Business Analyst,< 1 years,A laptop,Retail/Sales,"10,000 or more employees","15,000-19,999",,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Do research that advances the state of the art of machine learning",
22551,35-39,Man,Brazil,Bachelor’s degree,Business Analyst,10-20 years,A laptop,Computers/Technology,"10,000 or more employees","1,000-1,999",Microsoft SQL Server ,"Python, SQL, C, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,Jupyter Notebook","Seaborn ,D3 js ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models", GitHub   Kaggle   Colab 
22554,25-29,Man,United States of America,Master’s degree,Business Analyst,1-3 years,A laptop,Energy/Mining,"10,000 or more employees","70,000-79,999",,"Python, R","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Shiny ,D3 js ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
22575,22-24,Nonbinary,United States of America,Bachelor’s degree,Business Analyst,1-3 years,A laptop,Other,50-249 employees,,, R,RStudio ,"Ggplot / ggplot2 ,Shiny ",,
22578,35-39,Man,India,Master’s degree,Business Analyst,10-20 years,A laptop,Academics/Education,250-999 employees,"15,000-19,999",,"Python, R, C","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,
22593,18-21,Man,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Other,0-49 employees,$0-999,,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) "," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
22595,22-24,Man,Russia,Master’s degree,Data Analyst,1-3 years,A personal computer / desktop,Accounting/Finance,"1000-9,999 employees",$0-999,,"Python, SQL, Java","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, GitHub 
22612,25-29,Man,Greece,Bachelor’s degree,Business Analyst,5-10 years,A personal computer / desktop,Marketing/CRM,50-249 employees,$0-999,IBM Db2 ,"Python, SQL","PyCharm , Spyder, Sublime Text", None, None of these activities are an important part of my role at work, GitHub   Kaggle 
22622,30-34,Man,China,Doctoral degree,Data Analyst,3-5 years,A laptop,Academics/Education,"1000-9,999 employees","40,000-49,999",, R,RStudio , None, Do research that advances the state of the art of machine learning,I do not share my work publicly
22632,22-24,Man,South Korea,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,A personal computer / desktop,Other,0-49 employees,$0-999,,"Python, R, SQL, C","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
22635,30-34,Man,United States of America,Bachelor’s degree,Business Analyst,3-5 years,A personal computer / desktop,,,,,"Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook", None,,
22637,25-29,Man,Japan,No formal education past high school,Data Analyst,1-3 years,A laptop,Academics/Education,250-999 employees,"3,000-3,999",,"Python, SQL",Jupyter Notebook, Matplotlib ,Analyze and understand data to influence product or business decisions, Kaggle 
22642,50-54,Man,Russia,Master’s degree,Data Analyst,10-20 years,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Computers/Technology,50-249 employees,"30,000-39,999",Amazon Redshift ,"Python, R, SQL, C, C++, Java, Javascript","RStudio ,PyCharm , Spyder, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Shiny ,D3 js ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",I do not share my work publicly
22643,25-29,Man,United States of America,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Online Service/Internet-based Services,"10,000 or more employees","125,000-149,999",Google Cloud BigQuery ,"Python, SQL, Javascript","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Bokeh ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", GitHub   Personal blog 
22648,35-39,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Data Analyst,10-20 years,A personal computer / desktop,Insurance/Risk Assessment,"1000-9,999 employees","30,000-39,999",, Javascript, Sublime Text, None," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
22649,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Business Analyst,< 1 years,A laptop,Accounting/Finance,50-249 employees,$0-999,, C++, Sublime Text,Seaborn ," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
22650,45-49,Man,Japan,Bachelor’s degree,Business Analyst,< 1 years,A personal computer / desktop,Retail/Sales,"1000-9,999 employees","10,000-14,999",,Python,"Visual Studio Code (VSCode) ,Jupyter Notebook", Matplotlib , None of these activities are an important part of my role at work,I do not share my work publicly
22651,45-49,Man,Brazil,Master’s degree,Data Analyst,20+ years,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Energy/Mining,250-999 employees,"25,000-29,999",,"Python, R, SQL, C","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Notepad++"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
22661,22-24,Man,Pakistan,Master’s degree,Data Analyst,1-3 years,A laptop,Academics/Education,0-49 employees,"5,000-7,499",,"Python, Javascript","PyCharm , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Altair ",Analyze and understand data to influence product or business decisions,
22675,25-29,Man,Japan,Master’s degree,Data Analyst,3-5 years,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Energy/Mining,"10,000 or more employees","50,000-59,999",,"Python, C++, MATLAB","Visual Studio Code (VSCode) , Sublime Text,MATLAB ,Jupyter Notebook", Matplotlib , Experimentation and iteration to improve existing ML models,
22686,22-24,Woman,Viet Nam,Master’s degree,Data Analyst,< 1 years,A laptop,Retail/Sales,"1000-9,999 employees","5,000-7,499",Google Cloud BigQuery ,"Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,I do not share my work publicly
22687,50-54,Man,Nigeria,Master’s degree,Business Analyst,3-5 years,A personal computer / desktop,Government/Public Service,50-249 employees,$0-999,, SQL,"RStudio ,Visual Studio Code (VSCode) ", None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
22711,30-34,Man,Australia,Master’s degree,Data Analyst,3-5 years,A laptop,Marketing/CRM,0-49 employees,,,"Python, R","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",,
22737,30-34,Man,India,Bachelor’s degree,Data Analyst,I have never written code,,Accounting/Finance,0-49 employees,"10,000-14,999",,,,,Analyze and understand data to influence product or business decisions,
22738,18-21,Man,Pakistan,Bachelor’s degree,Data Analyst,3-5 years,A personal computer / desktop,,,,,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook", Matplotlib ,,
22748,30-34,Man,Brazil,Bachelor’s degree,Business Analyst,< 1 years,A laptop,Other,"10,000 or more employees","15,000-19,999",,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Experimentation and iteration to improve existing ML models",
22770,25-29,Man,Peru,Master’s degree,Data Analyst,1-3 years,A laptop,Government/Public Service,250-999 employees,"1,000-1,999",, Other,Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",
22786,60-69,Man,Morocco,Doctoral degree,Business Analyst,5-10 years,A personal computer / desktop,Other,250-999 employees,"5,000-7,499",,"Python, SQL, C, C++, Java, Javascript","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning",
22790,22-24,Woman,India,Master’s degree,Data Analyst,1-3 years,A laptop,Marketing/CRM,250-999 employees,"3,000-3,999",,"Python, R, SQL","Visual Studio , Notepad++","Seaborn ,D3 js ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",
22807,18-21,Prefer not to say,India,Bachelor’s degree,Business Analyst,< 1 years,A laptop,Manufacturing/Fabrication,0-49 employees,$0-999,,"Python, SQL",Visual Studio Code (VSCode) , Matplotlib ,"Analyze and understand data to influence product or business decisions, Other",
22808,45-49,Woman,India,Doctoral degree,Data Analyst,20+ years,A laptop,,,,,"Python, R, SQL, C",RStudio , Matplotlib ,,
22823,25-29,Man,China,Bachelor’s degree,Data Analyst,3-5 years,A personal computer / desktop,Computers/Technology,0-49 employees,"15,000-19,999",,Python,"Visual Studio Code (VSCode) ,PyCharm , Vim / Emacs,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,
22827,22-24,Man,India,Master’s degree,Data Analyst,I have never written code,,Computers/Technology,"10,000 or more employees","30,000-39,999",,,,,Analyze and understand data to influence product or business decisions,
22848,25-29,Woman,India,Master’s degree,Data Analyst,5-10 years,A laptop,Computers/Technology,"10,000 or more employees","7,500-9,999",,"Python, C++, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Bokeh ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", Kaggle   Colab 
22849,35-39,Man,Germany,Doctoral degree,Data Analyst,1-3 years,A laptop,Other,0-49 employees,"10,000-14,999",, R, Vim / Emacs,"Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,D3 js ,Leaflet / Folium , Other", None of these activities are an important part of my role at work,
22852,30-34,Man,United States of America,I prefer not to answer,Business Analyst,I have never written code,,Retail/Sales,"1000-9,999 employees","40,000-49,999",,,,,Analyze and understand data to influence product or business decisions,
