,edad,genero,paises,titulo_academico,puesto_trabajo,años_experiencia,plataforma_informatica,sector_laboral,tamaño_empresa,salario,servidor_datos,lenguaje_programacion,entorno_desarrollo,libreria_visualizacion,funciones_puesto,herramienta_publicacion
10630,45-49,Man,Argentina,Master’s degree,Business Analyst,5-10 years,A personal computer / desktop,Retail/Sales,0-49 employees,"10,000-14,999",MongoDB ,"Python, R, Javascript","RStudio ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",I do not share my work publicly
10644,35-39,Man,Egypt,Doctoral degree,Data Analyst,5-10 years,A laptop,Academics/Education,50-249 employees,"5,000-7,499",," SQL, C++, MATLAB","RStudio ,MATLAB ",Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,I do not share my work publicly
10648,30-34,Man,India,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Medical/Pharmaceutical,"10,000 or more employees","300,000-499,999",, SQL,"Visual Studio ,Visual Studio Code (VSCode) ,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, Kaggle 
10655,45-49,Nonbinary,United Arab Emirates,Doctoral degree,Business Analyst,10-20 years,A personal computer / desktop,Academics/Education,0-49 employees,"1,000-1,999",,Python,"Visual Studio Code (VSCode) , Sublime Text","Altair ,Leaflet / Folium ",Analyze and understand data to influence product or business decisions, Colab 
10659,18-21,Man,Other,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Retail/Sales,0-49 employees,,,"Python, R, SQL","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows",
10663,30-34,Man,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Computers/Technology,"10,000 or more employees",,,"Python, R, SQL"," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",
10667,25-29,Woman,India,Master’s degree,Data Analyst,3-5 years,A laptop,Academics/Education,50-249 employees,,,"Python, R, SQL, Java",RStudio ,"Seaborn ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,
10686,25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,< 1 years,A laptop,,,,,"Python, R, SQL","Visual Studio ,Visual Studio Code (VSCode) ,MATLAB ", Matplotlib ,,
10691,25-29,Woman,Other,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Computers/Technology,"1000-9,999 employees",$0-999,Oracle Database ," SQL, Java","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
10693,35-39,Man,Egypt,Bachelor’s degree,Data Analyst,< 1 years,A personal computer / desktop,Accounting/Finance,0-49 employees,$0-999,,"Python, R, SQL"," Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ", None of these activities are an important part of my role at work, GitHub   Kaggle 
